Date,DPIS
2020/5/7,1.033413158
2020/5/8,0.693520038
2020/5/11,0.997050718
2020/5/12,-1.107544046
2020/5/13,0.501228653
2020/5/14,-0.29277696
2020/5/15,1.123107175
2020/5/18,-0.342749342
2020/5/19,0.190289392
2020/5/20,0.495249052
2020/5/21,-0.311997107
2020/5/22,-0.111504597
2020/5/25,0.226166999
2020/5/26,-1.15205815
2020/5/27,-0.695096979
2020/5/28,0.057029708
2020/5/29,-0.824036742
2020/6/1,-0.996933242
2020/6/2,-0.572925158
2020/6/3,-0.970973563
2020/6/4,0.889902729
2020/6/5,-0.806860653
2020/6/8,1.229109196
2020/6/9,0.155088721
2020/6/10,1.123107175
2020/6/11,0.764331105
2020/6/12,2.014771233
2020/6/15,1.123107175
2020/6/16,1.123107175
2020/6/17,0.016374212
2020/6/18,-0.042915054
2020/6/19,-0.555964835
2020/6/22,-0.607119359
2020/6/23,1.123107175
2020/6/24,-0.266195907
2020/6/29,0.206946852
2020/6/30,-0.917431726
2020/7/1,0.020686158
2020/7/2,0.171252294
2020/7/3,-1.058482802
2020/7/6,0.972652694
2020/7/7,-1.657407372
2020/7/8,-0.861611513
2020/7/9,-0.975732838
2020/7/10,0.116087977
2020/7/13,-0.392721723
2020/7/14,-1.208937284
2020/7/15,0.206946852
2020/7/16,0.025674489
2020/7/17,0.717534226
2020/7/20,0.501228653
2020/7/21,0.911103134
2020/7/22,1.822720513
2020/7/23,0.529495858
2020/7/24,-0.604333165
2020/7/27,-0.820263207
2020/7/28,-0.678927179
2020/7/29,0.540096061
2020/7/30,0.171252294
2020/7/31,-0.396652135
2020/8/3,-0.832801081
2020/8/4,0.275091008
2020/8/5,-0.742528392
2020/8/6,-0.949821233
2020/8/7,-0.907143295
2020/8/10,-0.678927179
2020/8/11,0.456808758
2020/8/12,0.413354514
2020/8/13,-0.248683683
2020/8/14,-0.607119359
2020/8/17,0.213041045
2020/8/18,-0.742528392
2020/8/19,0.734433099
2020/8/20,-1.388325319
2020/8/21,-0.155755915
2020/8/24,0.52128925
2020/8/25,-1.542086492
2020/8/26,1.123107175
2020/8/27,0.363836886
2020/8/28,0.656698283
2020/8/31,-1.071758198
2020/9/1,-0.042915054
2020/9/2,-1.029549248
2020/9/3,-0.893796141
2020/9/4,1.913630721
2020/9/7,0.956532571
